,Player,Runs,Wickets,Age,Batting Skill,Bowling Skill,Country,Type
158,R Tewatia,35,6,25,Left_Hand,Legbreak,India,Other
159,S Sreesanth,34,40,36,Right_Hand,Right-arm fast-medium,India,Bowler
160,AP Dole,34,5,31,Right_Hand,Right-arm medium-fast,India,Other
161,A Mithun,34,7,29,Right_Hand,Right-arm medium,India,Other
162,Anureet Singh,33,17,30,Right_Hand,Right-arm medium,India,Other
163,D Salunkhe,33,1,36,Right_Hand,Legbreak,India,Other
164,RJ Peterson,32,3,39,Left_Hand,Slow left-arm orthodox,South Africa,Other
165,J Syed Mohammad,29,8,35,Left_Hand,Slow left-arm orthodox,India,Other
166,SB Jakati,28,47,38,Left_Hand,Slow left-arm orthodox,India,Bowler
167,JM Kemp,26,3,41,Right_Hand,Right-arm fast-medium,South Africa,Other
168,AB Dinda,26,69,34,Right_Hand,Right-arm medium-fast,India,Bowler
169,S Nadeem,26,37,29,Right_Hand,Slow left-arm orthodox,India,Bowler
170,Sandeep Sharma,26,71,25,Right_Hand,Right-arm medium,India,Bowler
171,JJ Bumrah,25,46,25,Right_Hand,Right-arm medium,India,Bowler
172,MA Khote,24,2,38,Right_Hand,Right-arm medium,India,Other
173,PJ Sangwan,24,35,28,Right_Hand,Left-arm medium,India,Bowler
174,SW Tait,23,23,35,Right_Hand,Right-arm fast,Australia,Other
175,BMAJ Mendis,23,1,36,Left_Hand,Legbreak,Sri Lanka,Other
176,GB Hogg,22,23,48,Left_Hand,Slow left-arm chinaman,Australia,Other
177,DE Bollinger,21,37,37,Left_Hand,Left-arm fast-medium,Australia,Bowler
178,Kuldeep Yadav,20,18,24,Left_Hand,Slow left-arm chinaman,India,Other
179,RR Raje,20,6,32,Right_Hand,Right-arm fast-medium,India,Other
180,AC Thomas,20,14,42,Right_Hand,Right-arm fast-medium,England,Other
181,M Muralitharan,20,64,46,Right_Hand,Right-arm offbreak,Sri Lanka,Bowler
182,R Shukla,19,5,28,Right_Hand,Right-arm medium,India,Other
183,P Sahu,19,3,33,Right_Hand,Legbreak googly,India,Other
184,JJ van der Wath,18,3,41,Right_Hand,Right-arm medium-fast,South Africa,Other
185,Imran Tahir,18,47,39,Right_Hand,Legbreak googly,India,Bowler
186,Harmeet Singh,18,26,26,Left_Hand,Slow left-arm orthodox,India,Bowler
187,PV Tambe,18,28,47,Right_Hand,Legbreak,India,Bowler
188,Parvez Rasool,17,4,30,Right_Hand,Right-arm offbreak,India,Other
189,PP Ojha,16,89,32,Left_Hand,Slow left-arm orthodox,India,Bowler
190,KC Cariappa,15,8,24,Right_Hand,Legbreak,India,Other
191,GR Napier,15,1,39,Right_Hand,Right-arm medium,England,Other
192,VY Mahesh,15,21,31,Right_Hand,Right-arm medium-fast,India,Other
193,YS Chahal,15,70,28,Right_Hand,Legbreak googly,India,Bowler
194,S Gopal,14,7,25,Right_Hand,Legbreak,India,Other
195,DL Chahar,14,1,26,Right_Hand,Right-arm medium,India,Other
196,S Badree,13,11,37,Right_Hand,Legbreak,West Indies,Other
197,KJ Abbott,13,2,31,Right_Hand,Right-arm fast-medium,South Africa,Other
198,Swapnil Singh,12,1,28,Right_Hand,Slow left-arm orthodox,India,Other
199,DAJ Bracewell,12,3,28,Right_Hand,Right-arm fast-medium,New Zealand,Other
200,T Thushara,12,8,37,Left_Hand,Left-arm fast-medium,Sri Lanka,Other
201,AA Chavan,12,8,33,Left_Hand,Slow left-arm orthodox,India,Other
202,Karanveer Singh,12,12,31,Right_Hand,Legbreak googly,India,Other
203,T Henderson,11,1,44,Right_Hand,Right-arm fast-medium,South Africa,Other
204,M Ntini,11,7,41,Right_Hand,Right-arm fast,South Africa,Other
205,DNT Zoysa,11,2,40,Left_Hand,Left-arm fast-medium,Sri Lanka,Other
206,J Theron,10,11,33,Right_Hand,Right-arm medium-fast,South Africa,Other
207,D du Preez,10,4,37,Right_Hand,Right-arm fast-medium,South Africa,Other
208,AG Murtaza,10,9,29,Left_Hand,Slow left-arm orthodox,India,Other
209,SMSM Senanayake,10,9,34,Right_Hand,Right-arm offbreak,Sri Lanka,Other
210,S Kaul,9,22,28,Right_Hand,Right-arm medium,India,Other
211,SM Harwood,9,3,44,Right_Hand,Right-arm fast-medium,Australia,Other
212,AA Noffke,9,1,41,Right_Hand,Right-arm fast-medium,Australia,Other
213,CK Langeveldt,8,13,44,Right_Hand,Right-arm fast-medium,England,Other
214,Jaskaran Singh,8,6,29,Right_Hand,Right-arm medium,India,Other
215,CJ McKay,8,1,35,Right_Hand,Right-arm fast-medium,Australia,Other
216,SN Thakur,7,12,27,Right_Hand,Right-arm medium,India,Other
217,VS Malik,7,6,35,Right_Hand,Right-arm medium,India,Other
218,Pankaj Singh,7,11,33,Right_Hand,Right-arm medium-fast,India,Other
219,AF Milne,7,4,26,Right_Hand,Right-arm fast,New Zealand,Other
220,BA Bhatt,6,12,28,Left_Hand,Slow left-arm orthodox,India,Other
221,J Yadav,6,4,29,Right_Hand,Right-arm offbreak,India,Other
222,SB Joshi,6,1,48,Left_Hand,Slow left-arm orthodox,India,Other
223,AS Rajpoot,6,8,25,Right_Hand,Right-arm medium,India,Other
224,P Awana,5,39,32,Right_Hand,Right-arm medium,India,Bowler
225,SJ Srivastava,5,14,37,Right_Hand,Left-arm fast-medium,India,Other
226,Shivam Sharma,5,4,25,Right_Hand,Right-arm offbreak,India,Other
227,KMDN Kulasekara,5,5,36,Right_Hand,Right-arm fast-medium,Sri Lanka,Other
228,JD Unadkat,5,56,27,Right_Hand,Left-arm medium,India,Bowler
229,TA Boult,5,15,29,Right_Hand,Left-arm fast-medium,New Zealand,Other
230,A Zampa,5,19,26,Right_Hand,Legbreak googly,Australia,Other
231,A Uniyal,4,2,37,Left_Hand,Left-arm medium,India,Other
232,GD McGrath,4,12,49,Right_Hand,Right-arm fast-medium,Australia,Other
